model,original_feature,mean_abs_shap,n_test_subjects,rank_within_model
Logistic Regression,MMSE,0.21925815907503643,28,1
Logistic Regression,EDUC,0.11502308118864404,28,2
Logistic Regression,M/F,0.11183787591102456,28,3
Logistic Regression,eTIV,0.09176345234640583,28,4
Logistic Regression,SES,0.0850316966212451,28,5
Logistic Regression,nWBV,0.08267640375402756,28,6
Logistic Regression,Age,0.07891127786656607,28,7
Logistic Regression,ASF,0.007157001352615692,28,8
Random Forest,MMSE,0.23833151683979475,28,1
Random Forest,nWBV,0.05723358847228753,28,2
Random Forest,EDUC,0.04980796779846038,28,3
Random Forest,M/F,0.04429157616099612,28,4
Random Forest,eTIV,0.017293181759391305,28,5
Random Forest,ASF,0.013677739188671057,28,6
Random Forest,Age,0.013655490715753517,28,7
Random Forest,SES,0.003060285341660825,28,8
SVC,MMSE,0.23284501391262452,28,1
SVC,M/F,0.08343469935913615,28,2
SVC,nWBV,0.0808124261814426,28,3
SVC,eTIV,0.06253040560762423,28,4
SVC,Age,0.05253210031150075,28,5
SVC,EDUC,0.050000931186502465,28,6
SVC,ASF,0.03165478235976009,28,7
SVC,SES,0.025783941154846418,28,8
