model,transformed_feature,mean_abs_shap,n_test_subjects
Logistic Regression,num__MMSE,0.21925815907503643,28
Logistic Regression,num__EDUC,0.11502308118864404,28
Logistic Regression,cat__M/F_M,0.11183787591102456,28
Logistic Regression,num__eTIV,0.09176345234640582,28
Logistic Regression,num__SES,0.0850316966212451,28
Logistic Regression,num__nWBV,0.08267640375402756,28
Logistic Regression,num__Age,0.07891127786656607,28
Logistic Regression,num__ASF,0.007157001352615692,28
Random Forest,num__MMSE,0.23833151683979475,28
Random Forest,num__nWBV,0.05723358847228753,28
Random Forest,num__EDUC,0.04980796779846038,28
Random Forest,cat__M/F_M,0.04429157616099612,28
Random Forest,num__eTIV,0.017293181759391305,28
Random Forest,num__ASF,0.013677739188671057,28
Random Forest,num__Age,0.013655490715753517,28
Random Forest,num__SES,0.003060285341660825,28
SVC,num__MMSE,0.23284501391262452,28
SVC,cat__M/F_M,0.08343469935913615,28
SVC,num__nWBV,0.0808124261814426,28
SVC,num__eTIV,0.06253040560762423,28
SVC,num__Age,0.05253210031150074,28
SVC,num__EDUC,0.050000931186502465,28
SVC,num__ASF,0.03165478235976009,28
SVC,num__SES,0.025783941154846418,28
